code	name	thickness	unit	materialType
1000087	#304-0,5-1000087	0.5	kg	INOX
1000075	#304-0,8-1000075	0.8	kg	INOX
1000012	#304-1,0-1000012	1.0	kg	INOX
1000103	#304-1,2-1000103	1.2	kg	INOX
1000073	#304-1,5-1000073	1.5	kg	INOX
1000108	#304-2,0-1000108	2.0	kg	INOX
1000088	#304-3,0-1000088	3.0	kg	INOX
1000018	#430-0,5-1000018	0.5	kg	INOX
1000043	#430-0,8-1000043	0.8	kg	INOX
1000030	#430-0,7-1000030	0.7	kg	INOX
1000046	#430-1,0-1000046	1.0	kg	INOX
1000057	#430-1,2-1000057	1.2	kg	INOX
1000127	#430-1,5-1000127	1.5	kg	INOX
1000068	#430-2,0-1000068	2.0	kg	INOX
1000140	#200-0,5-1000140	0.5	kg	INOX
1000001	#200-0,8-1000001	0.8	kg	INOX
1000181	#430-2B-0,5-1000181	0.5	kg	INOX
1000188	#430-2B-0,8-1000188	0.8	kg	INOX
1000003	#200-1,0-1000003	1.0	kg	INOX
1000095	#304-0,6-PERFURADA-1000095	0.6	kg	INOX
1050048	ALUM-0,5-1050048	0.5	kg	ALUMINIO
1050025	#ALUM-0,8-1050025	0.8	kg	ALUMINIO
1050057	ALUM-3,0-1050057	3.0	kg	ALUMINIO
1050108	#ALUM-1,0-1050108	1.0	kg	ALUMINIO
1050149	#ALUM-2,0-1050149	2.0	kg	ALUMINIO
1007921	PERF-R-V-P-1007921		un	PLASTICO
1007711	1007711-FEMEA-MACHO CINZA / P-FEMEA-CZ		un	PLASTICO
1007712	1007712-FEMEA-MACHO CINZA / P-MACHO-CZ		un	PLASTICO
1007834	PORTA ET. MOD.SERAL -PT		un	PLASTICO
1008036	PF UNIÃO CH 20mm		un	PLASTICO
1012043	PLACA FIBRA (1012043)		un	CERAMICA
1012293	MANTA CERAMICA		un	CERAMICA
1012005	LÃ DE ROCHA (1012005)		un	ISOLANTE
1050060	TELA FIBRA PRETA		un	TECIDO
1006887	FUSO TRAP. TR8X8MM -1006887		un	METAL
1006886	EIXO LINEAR 8MM-INOX-1006886		un	METAL
1006897	CORREIA GT 2 6MM-1006897		un	BORRACHA
1007700	GAXETA SILICONE TIPO E 16x20-1007700		un	BORRACHA
1003004	TI-Ø1.1/2"x1-1003004		m	TUBO_INOX
1003008	TI-Ø3/4"x1-1003008		m	TUBO_INOX
1003005	TI-Ø1.1/4"x1-1003005		m	TUBO_INOX
1003012	TI-Ø1"x1-1003012		m	TUBO_INOX
1003046	TI-40x40x1-1003046		m	TUBO_INOX
1003009	TI-30x20x1-1003009		m	TUBO_INOX
1003051	TI-Ø1/2"x1-1003051		m	TUBO_INOX
1003023	TI-Ø1"x1,5-1003023		m	TUBO_INOX
1004582	TI-40x40x1,2-1004582		m	TUBO_INOX
1003056	TI-30x30x1,2-1003056		m	TUBO_INOX
1003054	TI-25X25X1-1003054		m	TUBO_INOX
1003028	TI-Ø 2"x1,2mm-1003028		m	TUBO_INOX
1003025	TI-Ø1.1/4"x1,5-1003025		m	TUBO_INOX
1003042	TI-Ø1.1/2"x1-1003042 ESCOVADO		m	TUBO_INOX
1004601	TI-25X25X3-1004601		m	TUBO_INOX
1003024	TI-Ø1/2"x1,5-1003024		m	TUBO_INOX
1003053	TI-40x20x1-1003053		m	TUBO_INOX
1003061	TI-Ø3/4"x1,5-1003061		m	TUBO_INOX
1007151	TI-Ø4"x1,5-1007151		m	TUBO_INOX
1004513	CANTONEIRA 1.1-4'' X 3-16'' - CARB.-1004513		m	ACO_CARBONO
1001503	# GALV-0,9-1001503	0.9	kg	ACO_GALVANIZADO
1001502	# GALV-0,5-1001502	0.5	kg	ACO_GALVANIZADO
1001504	# GALV-1,2-1001504	1.2	kg	ACO_GALVANIZADO
1001550	# GALV-1,5-1001550	1.5	kg	ACO_GALVANIZADO
1004552	T-C-SCH-Ø33,4X3,38MM-1004552		m	TUBO_ACO
1004588	TG-20x20x0,8-1004588		m	TUBO_ACO
1004530	T-C-25X25X3,0-1004530		m	TUBO_ACO
1004567	T-C-SCH-80-Ø3/4"-1004567		m	TUBO_ACO
1004525	T-C-1"ØX2,1-1004525		m	TUBO_ACO
1004587	T-C-SCH 3-4-Ø26,7X2,83MM-1004587		m	TUBO_ACO
1001512	#1020-4,75-1001512	4.75	kg	ACO_CARBONO
1001528	#1020-3/8"(526X448)-1001528		kg	ACO_CARBONO
1001529	#1020-3/8"(900X650)-1001529		kg	ACO_CARBONO
1001511	#1020-2,0-1001511	2.0	kg	ACO_CARBONO
1004579	#1020 - 5/8"-1004579		kg	ACO_CARBONO
1003027	BI-Ø5/16"-1003027		m	BARRA_REDONDA
1003026	BI-Ø1/4"-1003026		m	BARRA_REDONDA
1003036	BI-Ø3/8"-1003036		m	BARRA_REDONDA
1003022	BI-Ø1/2"-1003022		m	BARRA_REDONDA
1006523	BR-Ø5/16"-1006523		m	BARRA_REDONDA
1003044	BI-Ø3/16"-1003044		m	BARRA_REDONDA
1006364	BR-Ø3/4"-1006364		m	BARRA_REDONDA
1007599	T-COB-Ø1/4"-1007599		m	TUBO_COBRE
1004507	T-COB-Ø5/16"-1004507		m	TUBO_COBRE
1007600	T-COB-Ø3/8"-1007600		m	TUBO_COBRE
1007944	T-COB-Ø5/8"-1007944		m	TUBO_COBRE
1003015	TISCH-40-3/4"-1003015		m	TUBO_INOX_SCH
1003016	TISCH-40-1"-1003016		m	TUBO_INOX_SCH
1003055	TISCH-40-1/2"-1003055		m	TUBO_INOX_SCH
1003037	TISCH-5 -1 1/2'' - 1003037		m	TUBO_INOX_SCH
1003062	TISCH-10 -2'' - 1003062		m	TUBO_INOX_SCH
1003029	TISCH-10 -1 1/2''-1003029		m	TUBO_INOX_SCH
1003041	TISCH-40-3/8"-1003041		m	TUBO_INOX_SCH
1006788	PERF-C-F-LED-1006788		m	PERFIL_ALUMINIO
1006837	PERF-SB-LED-1006837		m	PERFIL_ALUMINIO
1006789	PERF-S-F-LED-1006789		m	PERFIL_ALUMINIO
1004606	PERF- PUX- SP-0116-1004606		m	PERFIL_ALUMINIO
1007167	TRILHO - 1007167		m	PERFIL_ALUMINIO
1007713	P-EN-GAX-CZ-1007713		un	PERFIL_PLASTICO
1007998	P-POR-CO-VI-1007998		un	PERFIL_PLASTICO
1006844	P-TLH-P-D-1006844		un	PERFIL_PLASTICO
1050080	P-ME30P-1050080		un	PERFIL_PLASTICO
1004506	T-A-Ø33,4X3,38-1004506		m	TUBO_ALUMINIO
1004505	T- A- N-Ø 3/8 X 1,00-1004505		m	TUBO_ALUMINIO
1004548	TUBO PVC 3/4-1004548		m	TUBO_PVC
1004532	TUBO PVC 25mm-1004532		m	TUBO_PVC
1006506	FITA LED 12V - 1006506		m	ELETRICO
10050262	M-COR-1 1/2-10050262		m	MANGUEIRA
